SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
D4LIC,R_ED_4TH_DEGREE_REAS_LICENSING,Reason for obtaining this degree: licensure/certification,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 4th highest degree? (Response to: 'For licensure or certification'),All respondents with four or more degrees,$YES_NO_CODES
D4MN,R_ED_4TH_HD_DEGREE_AWARD_MO,Month of award of fourth highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,In what month was your 4th highest degree awarded?,All respondents with four or more degrees,MONTH_GROUP
D4OT,R_ED_4TH_DEGREE_REAS_OTHR,Reason for obtaining this degree: other,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 4th highest degree? (Response to: 'Other'),All respondents with four or more degrees,$YES_NO_CODES
D4PBP21C,R_ED_4TH_HD_SCHOOL_PUB_OR_PRIV_2021,Public/private  status of school awarding fourth highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents with at least four degrees,$PUBLIC_PRIVATE_CODES
D4RGN,R_ED_4TH_HD_SCHOOL_REGION,Location of school awarding fourth highest degree (region code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,$REGION_CODES
D4SKL,R_ED_4TH_DEGREE_REAS_ACQ_SKILL,Reason for obtaining this degree: acquire further skills in field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain 4th highest degree? (Response to: 'To gain further skills or knowledge in your academic or occupational field'),All respondents with four or more degrees,$YES_NO_CODES
D4ST_TOGA,R_ED_4TH_HD_SCHOOL_ST_CTRY_CD_TOGA,Location of school awarding fourth highest degree (state/country code),SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,$TOGALOCAT_CG
D4YR,R_ED_4TH_HD_DEGREE_AWARD_YR,Year of award of fourth highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,In what year was your 4th highest degree awarded?,All respondents with four or more degrees,NUMERIC_FOUR
D53YR,S_ED_5TH_HD_DEGREE_AWARD_YR_3_YR_GROUPING,Year of award of fifth highest degree (3 year intervals),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with five or more degrees,THREE_YEAR_GROUP_CODES_2023_
D55YR,S_ED_5TH_HD_DEGREE_AWARD_YR_5_YR_GROUPING,Year of award of fifth highest degree (5 year intervals),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with five or more degrees,FIVE_YEAR_GROUP_CODES_2020_
D5ADV,S_ED_5TH_DEGREE_REAS_ADVANCEMT,Reason for obtaining this degree: increase advancement opportunities,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,"For which of the following reasons did you obtain your 5th highest degree? (Response to: 'To increase opportunities for promotion, advancement or higher salary')?",All respondents with five or more degrees,$YES_NO_CODES
